section,representation,context,period,horizon,quintile,count,dates,securities,industries,mean_net_return,median_net_return,positive_return_fraction,mean_industry_relative,median_industry_relative,mean_broad_relative,severe_loss_fraction,mean_mae_h20,control,tercile,q5_count,q1_count,q5_mean_industry_relative,q1_mean_industry_relative,q5_minus_q1_industry_relative
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,late_2022_2023,20,2,19931,93,3655,116,-0.00968239055004,-0.0217778728258,0.415583763986,0.00255013448271,-0.00687848787203,0.00249861399358,0.201194119713,-0.0904279761429,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,late_2022_2023,20,3,19963,93,3662,116,-0.0088286174826,-0.0193942012881,0.41576917297,0.00191790958521,-0.00562191314317,0.00337028262195,0.177428242248,-0.0848332618768,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,late_2022_2023,20,4,19955,93,3588,117,-0.012131235978,-0.0200566608718,0.408619393636,-0.00018806982866,-0.00535508067749,-2.11437973793e-06,0.178601854172,-0.0854677647189,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,late_2022_2023,20,5,19967,93,3461,117,-0.0196121229405,-0.029828798952,0.379876796715,-0.00540170034017,-0.0129312290985,-0.00753947006852,0.227475334302,-0.0990840439927,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,late_2022_2023,20,Q5-Q1,19898,93,,,-0.00636909384277,-0.000177289413741,-0.0208167403243,-0.00665528195587,-5.31797850466e-06,-0.00647926218755,-0.0272236304185,0.0052656494065,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,1,1,1199,19,597,68,-1.37266795932e-05,-0.00292161512547,0.423686405338,0.00110819519435,-0.00102313157648,0.000563110083118,0,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,1,2,1209,20,666,72,-0.000844945303116,-0.00289266940732,0.416046319272,0.000463358186451,-0.000783306374902,-0.000273349753171,0,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,1,3,1209,20,654,69,-0.00162852875402,-0.00287290587365,0.409429280397,-0.000246437361471,-0.00122430930727,-0.00109195443606,0,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,1,4,1209,20,662,72,-0.00202427927946,-0.0030039128093,0.401985111663,-0.000832807572415,-0.00126802289675,-0.00145268372951,0,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,1,5,1215,20,596,71,-0.0010943898984,-0.00295016661238,0.415637860082,-0.000323080452399,-0.00169895791628,-0.000539551416754,0,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,1,Q5-Q1,1199,19,,,-0.00108066321881,-2.85514869102e-05,-0.00804854525548,-0.00143127564675,-0.000675826339799,-0.00110266149987,0,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,3,1,1198,19,597,68,-0.0173040205774,-0.0221707721181,0.283806343907,-0.000723188257799,-0.00333701247239,-0.00203606618314,0.0200333889816,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,3,2,1209,20,666,72,-0.0154379103711,-0.0187021231436,0.306038047974,0.000425096021913,-0.00178729076076,-0.000172948277851,0.0157154673284,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,3,3,1209,20,654,69,-0.0151759336804,-0.017627839559,0.284532671629,0.00036073862851,-0.000981636014593,4.14715472556e-05,0.0157154673284,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,3,4,1208,20,661,72,-0.0177200178555,-0.0194832831451,0.269867549669,-0.000803555885158,-0.00127696349084,-0.00247506930814,0.0182119205298,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,3,5,1215,20,596,71,-0.0142785024566,-0.0169608699268,0.309465020576,0.00145186542985,0.000744594805487,0.000967210338372,0.0164609053498,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,3,Q5-Q1,1198,19,,,0.00302551812078,0.00520990219124,0.0256586766696,0.00217505368765,0.00408160727787,0.00300327652151,-0.00357248363184,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,5,1,1198,19,597,68,-0.0254410545004,-0.0279524660084,0.278797996661,-0.00129761822921,-0.00316185348552,-0.00245882657118,0.0776293823038,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,5,2,1209,20,666,72,-0.0231016144034,-0.0271819573891,0.301902398677,0.000453141331344,-0.00189421332577,-0.000181936381946,0.0669975186104,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,5,3,1208,20,653,69,-0.0223910428875,-0.022860917402,0.287251655629,1.27198217156e-05,-0.00114495490399,0.000492070989011,0.0653973509934,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,5,4,1208,20,661,72,-0.0245843411294,-0.0249780822762,0.274006622517,-0.000572202264613,-0.00219837251178,-0.0016864329524,0.0761589403974,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,5,5,1215,20,596,71,-0.0224208080798,-0.0245361073117,0.306172839506,0.00173710367554,0.000702521953428,0.0005214359953,0.0510288065844,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,5,Q5-Q1,1198,19,,,0.00302024642059,0.00341635869668,0.0273748428451,0.00303472190475,0.00386437543894,0.00298026256648,-0.0266005757195,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,10,1,1198,19,597,68,-0.0304600632968,-0.0288887726971,0.345575959933,0.00149090388674,-0.00173495815264,-0.000479296441287,0.174457429048,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,10,2,1209,20,666,72,-0.0288515856608,-0.0306257011105,0.331679073615,0.00227454402739,-0.00077765567547,0.0010128177961,0.166253101737,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,10,3,1208,20,653,69,-0.0292447187172,-0.0257823014585,0.346854304636,0.00124958799499,-0.0016880542085,0.000642322070128,0.158112582781,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,10,4,1207,20,660,72,-0.0325705944803,-0.0281462752099,0.316487158244,2.33482427216e-05,-0.00235316290437,-0.00279008153365,0.169842584921,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,10,5,1215,20,596,71,-0.0355176650485,-0.030058340619,0.305349794239,-0.00404103516088,-0.00484818263235,-0.00558760490289,0.167901234568,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,10,Q5-Q1,1198,19,,,-0.0050576017517,-0.00116956792194,-0.0402261656945,-0.00553193904763,-0.00311322447971,-0.0051083084616,-0.00655619448051,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,20,1,1198,19,597,68,-0.0433844223791,-0.053851841242,0.317195325543,0.00112345694899,-0.00560502736495,-0.000728223301419,0.326377295492,-0.121563189936,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,20,2,1209,20,666,72,-0.04353868881,-0.051921977641,0.29776674938,-0.00012633197661,-0.00319029016375,-0.00106508953799,0.308519437552,-0.114590566461,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,20,3,1208,20,653,69,-0.0391127312314,-0.0401236448047,0.322847682119,0.00187054837987,-0.000195561784694,0.00348994969731,0.24917218543,-0.109188876698,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,20,4,1207,20,660,72,-0.0422771148569,-0.043429568832,0.286661143331,0.000990620807848,-0.00204000526696,9.56581992363e-05,0.246893123447,-0.106375430285,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,20,5,1215,20,596,71,-0.0469762362516,-0.0450041094282,0.301234567901,-0.00266834404674,-0.00291022699966,-0.0043634835025,0.269958847737,-0.112642729877,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2018,20,Q5-Q1,1198,19,,,-0.00359181387253,0.00884773181378,-0.0159607576413,-0.00379180099573,0.00269480036529,-0.00363526020108,-0.0564184477559,0.00892046005949,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,1,1,6089,49,1754,109,-0.00583452201244,-0.00676570908815,0.386598784694,-0.000329483772073,-0.00232444830509,-0.000230676518127,0.00131384463787,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,1,2,6104,49,1931,109,-0.00525371723326,-0.00591667087399,0.383519003932,0.000387776975043,-0.00126981544192,0.000341970147716,0.000327653997379,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,1,3,6105,49,1934,109,-0.00542228588028,-0.00641146856085,0.373628173628,1.43569737731e-05,-0.00109293510518,0.000182855035662,0.000982800982801,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,1,4,6104,49,1873,109,-0.00554188177208,-0.00623780909091,0.368446920052,-7.45403358911e-05,-0.00154938332922,5.38056088934e-05,0.000655307994758,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,1,5,6125,49,1791,109,-0.00576493636367,-0.00668029662672,0.371428571429,-0.000288263796877,-0.00200787255048,-0.000171299525497,0.00326530612245,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,1,Q5-Q1,6089,49,,,6.95856487694e-05,8.54124614332e-05,-0.0151702132651,4.12199751964e-05,0.000316575754602,5.93769926292e-05,0.00195146148458,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,3,1,6089,49,1754,109,-0.00277591016691,-0.0103475819555,0.412382985712,0.000427136904147,-0.00371685648217,0.000702178010833,0.022828050583,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,3,2,6099,49,1928,109,-0.00228081553313,-0.00776477348334,0.429578619446,0.00096392820652,-0.00224417402445,0.00116174604681,0.01246105919,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,3,3,6100,49,1933,109,-0.00306990050703,-0.00845342350681,0.414590163934,0.000296702591869,-0.00195705056394,0.000391778505944,0.0109836065574,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,3,4,6102,49,1873,109,-0.00371326317606,-0.00843423467242,0.407735168797,-0.000323051663521,-0.00242767223656,-0.000259695405384,0.014585381842,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,3,5,6119,49,1791,109,-0.00367524353942,-0.00787130704511,0.42523288119,-0.00120012204948,-0.00307981705003,-0.000250691466162,0.0259846380127,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,3,Q5-Q1,6089,49,,,-0.000899333372512,0.00247627491039,0.0128498954778,-0.00162725895362,0.000637039432139,-0.000952869476996,0.00315658742973,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,5,1,6087,49,1753,109,-0.00619004888177,-0.0136933924359,0.408575653031,0.000901512702248,-0.00465818867729,0.00102087176476,0.0662066699524,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,5,2,6095,49,1924,109,-0.00567302283856,-0.0108335132825,0.418047579984,0.00114139232058,-0.00328631658585,0.00147619536826,0.0516817063167,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,5,3,6097,49,1932,109,-0.00566698004242,-0.00936961403071,0.421354764638,0.00147916394142,-0.00195405982536,0.00151187297384,0.0452681646711,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,5,4,6098,49,1872,109,-0.00685669584493,-0.00999206406464,0.413250245982,0.000209444793965,-0.00208368340784,0.000297901604318,0.0490324696622,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,5,5,6115,49,1789,109,-0.0104138647379,-0.0117370236199,0.406050695012,-0.00335031502932,-0.00502054113242,-0.0033015071284,0.0727718724448,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,5,Q5-Q1,6087,49,,,-0.00422381585617,0.00195636881596,-0.00252495801878,-0.00425182773157,-0.000362352455131,-0.00432237889317,0.00656520249245,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,10,1,6084,49,1752,109,0.00131007351068,-0.00673336099134,0.465811965812,0.00118958234274,-0.0074069850886,0.00171640500872,0.132971729126,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,10,2,6090,49,1923,109,0.0029223224154,-0.00264330994468,0.481609195402,0.00232998316513,-0.00418997981292,0.00322226540036,0.115927750411,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,10,3,6089,49,1928,109,0.00416020242327,-0.00131097159651,0.493020200361,0.00356640537819,-0.00212007450159,0.00449428938649,0.100016423058,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,10,4,6088,49,1869,109,0.000462800580161,-0.00399201596806,0.476346911958,0.000314999800365,-0.00388042101181,0.000776199932021,0.107917214192,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,10,5,6105,49,1784,109,-0.0067449883052,-0.0081703399703,0.454709254709,-0.00677615592466,-0.00900916869367,-0.00653274658982,0.136773136773,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,10,Q5-Q1,6084,49,,,-0.00805506181588,-0.00143697897896,-0.0111027111027,-0.0079657382674,-0.00160218360507,-0.00824915159853,0.00380140764756,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,20,1,6076,49,1748,109,0.000215421176305,-0.0152309028581,0.454246214615,-0.000876799457123,-0.0132307600635,-0.000550307183902,0.252633311389,-0.106356453831,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,20,2,6078,49,1919,109,0.00515492846501,-0.00953609022898,0.469233300428,0.00211324998653,-0.00816467269666,0.00409552150416,0.214708785785,-0.0952089047321,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,20,3,6071,49,1921,109,0.0049450212506,-0.00717542143041,0.474221709768,0.00367969742007,-0.00416961301483,0.00399630432772,0.196013836271,-0.0885400738797,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,20,4,6066,49,1858,109,0.00342199318226,-0.00578533653674,0.478569073525,0.0017763796311,-0.00460026228989,0.002315588124,0.195845697329,-0.089334010324,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,20,5,6085,49,1781,109,-0.00390533803578,-0.0133257529331,0.451437962202,-0.00570490163831,-0.011765245393,-0.00509099645125,0.228594905505,-0.101549616774,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2019,20,Q5-Q1,6076,49,,,-0.00412075921209,0.00190514992504,-0.00280825241274,-0.00482810218119,0.00146551467043,-0.00454068926735,-0.0240384058837,0.00480683705672,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,1,1,8839,49,2222,109,-0.00383035755878,-0.00570533245436,0.415544744881,0.000635544033278,-0.0022383961536,0.000510086595863,0.00395972395067,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,1,2,8861,49,2443,108,-0.00374455887505,-0.00549202799221,0.39577925742,0.000165378838392,-0.00184018285674,0.000587529542027,0.00203137343415,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,1,3,8862,49,2428,106,-0.00401761044114,-0.0055658179429,0.382532159783,-8.12462398698e-05,-0.00177078048903,0.000314953150097,0.00169262017603,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,1,4,8861,49,2407,109,-0.00405142600252,-0.00580789196448,0.380431102584,-2.66764420625e-05,-0.00155876538712,0.000280662414564,0.0022570815935,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,1,5,8880,49,2274,109,-0.00506739293558,-0.00662695772476,0.385810810811,-0.000669428227604,-0.00242225942898,-0.000732729128807,0.00698198198198,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,1,Q5-Q1,8839,49,,,-0.0012370353768,-0.000921625270405,-0.0297339340698,-0.00130497226088,-0.00018386327538,-0.00124281572467,0.00302225803131,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,3,1,8833,49,2222,109,-0.00542885924744,-0.00980812098431,0.42080833239,3.96542067177e-05,-0.00511724989378,8.43123282257e-05,0.0418883731462,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,3,2,8858,49,2442,108,-0.00538397147058,-0.00954670141049,0.405170467374,-0.00031534910781,-0.00341471077477,0.00010120139249,0.0293519981937,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,3,3,8858,49,2428,106,-0.0052366128356,-0.00932292736128,0.400090313841,0.000257243692645,-0.00300673908477,0.000247604552456,0.0285617520885,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,3,4,8852,49,2406,109,-0.00412736510243,-0.00870444000502,0.407478535924,0.000638421624357,-0.00229061754319,0.00134842345083,0.0273384545865,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,3,5,8876,49,2274,109,-0.00605572697886,-0.010146833354,0.408968003605,-0.000388524849432,-0.00415465635313,-0.000572984349947,0.048557908968,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,3,Q5-Q1,8833,49,,,-0.000626867731414,-0.000338712369662,-0.0118403287847,-0.00042817905615,0.000962593540646,-0.000657296678173,0.00666953582185,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,5,1,8826,49,2220,109,-0.00752681870198,-0.016364785956,0.404486743712,-0.00174727538268,-0.00837480689919,-0.00137996736093,0.0975526852481,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,5,2,8855,49,2442,108,-0.00522972918234,-0.0141381074862,0.402823263693,-0.000208217750744,-0.0053541552279,0.000894456598535,0.0714850367024,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,5,3,8857,49,2427,106,-0.00530272421159,-0.0123900596783,0.400700011291,0.000324358087678,-0.0037274694715,0.000845005461028,0.0640171615671,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,5,4,8846,49,2405,109,-0.00336912717638,-0.0110122071465,0.41578114402,0.00175252542076,-0.00312881995715,0.00273178228362,0.0601401763509,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,5,5,8870,49,2272,109,-0.0058047799771,-0.0129795951374,0.41206313416,8.93017464398e-05,-0.00572246827309,0.000336502734432,0.0992108229989,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,5,Q5-Q1,8826,49,,,0.00172203872488,0.00338519081859,0.00757639044833,0.00183657712912,0.0026523386261,0.00171647009537,0.00165813775074,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,10,1,8818,49,2219,109,0.000595366367313,-0.0155343613037,0.433885234747,-0.00245925813556,-0.0134402167607,-0.000889282944686,0.153776366523,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,10,2,8847,49,2440,108,0.00529762658186,-0.00934869756286,0.457669266418,0.00126623785499,-0.00722528812825,0.00373987108327,0.1168757771,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,10,3,8840,49,2424,106,0.00405597104275,-0.00972976231045,0.452828054299,0.00103914695262,-0.00583801081961,0.00254928987544,0.105769230769,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,10,4,8838,49,2403,109,0.00517727174501,-0.00830958762572,0.453609413895,0.00110869295644,-0.00714962075731,0.00363087695083,0.105793165875,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,10,5,8856,49,2269,109,0.00224435209725,-0.0126680700364,0.444444444444,-0.000961323884552,-0.00873088789349,0.0007750992911,0.151874435411,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,10,Q5-Q1,8818,49,,,0.00164898572994,0.00286629126727,0.0105592096973,0.001497934251,0.00470932886725,0.00166438223579,-0.001901931112,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,20,1,8806,49,2217,109,-0.00262812954384,-0.0275878898227,0.423688394277,-0.00477948390401,-0.0200455812123,-0.00211185622228,0.270043152396,-0.11461992607,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,20,2,8820,49,2434,108,0.00465502727355,-0.0191321532243,0.432879818594,0.00152674261556,-0.0125696866749,0.00515498456547,0.217800453515,-0.100269600981,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,20,3,8810,49,2422,106,0.00465301935074,-0.0178238966859,0.436322360953,0.00293824202165,-0.00840062533186,0.00531823078483,0.198070374574,-0.0948851402879,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,20,4,8817,49,2400,109,0.00630390053373,-0.01708831472,0.437223545424,0.00197137041447,-0.0103579275357,0.00677212690212,0.197799705115,-0.0947241859771,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,20,5,8822,49,2261,109,0.00127144539776,-0.0222093110922,0.433121741102,-0.00166362747311,-0.0132887819769,0.00185519488658,0.252550442077,-0.111990440335,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2020,20,Q5-Q1,8806,49,,,0.0038995749416,0.00537857873059,0.00943334682516,0.0031158564309,0.00675679923543,0.00396705110886,-0.0174927103195,0.00262948573548,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,1,1,9317,48,2328,110,-0.000666727396828,-0.00319933153986,0.454008801116,0.000683208979342,-0.00181996230067,0.00134662305331,0.00289792851776,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,1,2,9336,48,2577,108,-0.00141894693811,-0.00399201596806,0.438303341902,0.000370963673712,-0.00180133256273,0.00058842060269,0.00224935732648,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,1,3,9335,48,2540,110,-0.00211043954917,-0.00399201596806,0.415104445635,-0.000179479546152,-0.0015788555817,-0.000102637444277,0.00203535083021,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,1,4,9336,48,2530,111,-0.00225932260359,-0.00427734194306,0.409490145673,-0.000578407698757,-0.00221971025656,-0.000251955062794,0.00192802056555,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,1,5,9355,48,2312,110,-0.0015350416254,-0.0046125816902,0.422127204703,-0.000113809017222,-0.00269107189531,0.000478645065929,0.0044895777659,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,1,Q5-Q1,9317,48,,,-0.000868314228569,-0.00141325015034,-0.0318815964129,-0.000797017996564,-0.00087110959464,-0.000867977987378,0.00159164924814,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,3,1,9315,48,2328,110,-0.0024389570993,-0.00790560333165,0.442082662373,0.00108928623727,-0.00425550952593,0.000821970469724,0.0398282340311,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,3,2,9331,48,2573,108,-0.00295273747137,-0.00655376489819,0.439931411424,0.00114988763346,-0.00267518716925,0.000307082416887,0.0287214660808,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,3,3,9333,48,2539,110,-0.00414415174405,-0.00736831421902,0.424408014572,-0.000511133451315,-0.00311142172073,-0.000892494397099,0.0262509375335,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,3,4,9329,48,2527,111,-0.00356925699202,-0.00698003992016,0.429520848966,-0.000219616581127,-0.003719295472,-0.0003110359209,0.0296923571658,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,3,5,9351,48,2311,110,-0.00446558636106,-0.00968349016253,0.423056357609,-0.00109195261836,-0.00545797170514,-0.00119719302978,0.0464121484333,,,,,,,,
raw_spread,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,3,Q5-Q1,9315,48,,,-0.00202662926176,-0.00177788683089,-0.0190263047637,-0.00218123885563,-0.00120246217921,-0.00201916349951,0.00658391440219,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,5,1,9313,48,2328,110,-0.00171059041676,-0.0121502010225,0.425319445936,0.00242494860482,-0.0054648648816,0.00237882055628,0.0730162138946,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,5,2,9329,48,2572,108,-0.00270595715715,-0.0098117621185,0.431235930968,0.00206253684584,-0.00320995946019,0.00138086616291,0.0569192839533,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,5,3,9331,48,2539,110,-0.00483564321011,-0.010640619006,0.417318615368,-0.000293046429045,-0.00446382819609,-0.000755884890486,0.0510127531883,,,,,,,,
raw,IND_DOWN_RESILIENCE_20,INDUSTRY_NONPRESSURE,2021,5,4,9323,48,2527,111,-0.00514097610301,-0.00953308959272,0.424219671779,-0.000958280108061,-0.00486722050453,-0.00104744023978,0.0528799742572,,,,,,,,
